Sistema_Origen;tipoflujo;moneda;numerooperacion;tipoproducto;nombrecliente;MonedaColateral;FechaFijacion;FechaInicio;FechaVencimiento;FechaPago;NocionalRemanente;amortizacion;TasaFija;ConvencionInteres;ConvencionDias;IndiceFlotante;Spread;TipoInteres;flujoadicional
new;PAS;CLF;1;SWAP;PAMPA;CLP;30-01-2023;15-06-2022;15-12-2022;15-12-2022;0;0;0,04450483;Linear;30/360;FIJA;0;Fijo;0
new;PAS;CLF;1;SWAP;PAMPA;CLP;30-07-2023;15-12-2022;15-06-2023;15-06-2023;0;0;0,04450483;Linear;30/360;FIJA;0;Fijo;0
new;PAS;CLF;1;SWAP;PAMPA;CLP;30-01-2024;15-06-2023;15-12-2023;15-12-2023;0;0;0,04450483;Linear;30/360;FIJA;0;Fijo;0
new;PAS;CLF;1;SWAP;PAMPA;CLP;30-07-2024;15-12-2023;15-06-2024;17-06-2024;0;0;0,04450483;Linear;30/360;FIJA;0;Fijo;0
new;PAS;CLF;1;SWAP;PAMPA;CLP;30-01-2025;15-06-2024;15-12-2024;16-12-2024;0;0;0,04450483;Linear;30/360;FIJA;0;Fijo;0
new;PAS;CLF;1;SWAP;PAMPA;CLP;30-07-2025;15-12-2024;15-06-2025;16-06-2025;0;0;0,04450483;Linear;30/360;FIJA;0;Fijo;0
new;PAS;CLF;1;SWAP;PAMPA;CLP;30-01-2026;15-06-2025;15-12-2025;15-12-2025;0;0;0,04450483;Linear;30/360;FIJA;0;Fijo;0
new;PAS;CLF;1;SWAP;PAMPA;CLP;30-07-2026;15-12-2025;15-06-2026;15-06-2026;0;0;0,04450483;Linear;30/360;FIJA;0;Fijo;0
new;PAS;CLF;1;SWAP;PAMPA;CLP;30-01-2027;15-06-2026;15-12-2026;15-12-2026;0;0;0,04450483;Linear;30/360;FIJA;0;Fijo;0
new;PAS;CLF;1;SWAP;PAMPA;CLP;30-07-2027;15-12-2026;15-06-2027;15-06-2027;0;0;0,04450483;Linear;30/360;FIJA;0;Fijo;0
new;PAS;CLF;1;SWAP;PAMPA;CLP;30-01-2028;15-06-2027;15-12-2027;15-12-2027;0;0;0,04450483;Linear;30/360;FIJA;0;Fijo;0
new;PAS;CLF;1;SWAP;PAMPA;CLP;30-07-2028;15-12-2027;15-06-2028;15-06-2028;0;0;0,04450483;Linear;30/360;FIJA;0;Fijo;0
new;PAS;CLF;1;SWAP;PAMPA;CLP;30-01-2029;15-06-2028;15-12-2028;15-12-2028;0;0;0,04450483;Linear;30/360;FIJA;0;Fijo;0
new;PAS;CLF;1;SWAP;PAMPA;CLP;30-07-2029;15-12-2028;15-06-2029;15-06-2029;0;0;0,04450483;Linear;30/360;FIJA;0;Fijo;0
new;PAS;CLF;1;SWAP;PAMPA;CLP;30-01-2030;15-06-2029;15-12-2029;17-12-2029;0;0;0,04450483;Linear;30/360;FIJA;0;Fijo;0
new;PAS;CLF;1;SWAP;PAMPA;CLP;30-07-2030;15-12-2029;15-06-2030;17-06-2030;0;0;0,04450483;Linear;30/360;FIJA;0;Fijo;0
new;ACT;USD;1;SWAP;PAMPA;CLP;30-01-2023;15-06-2022;15-12-2022;15-12-2022;97500000;0;0,0712;Linear;ACT/360;FIJA;0;Fijo;0
new;ACT;USD;1;SWAP;PAMPA;CLP;30-07-2023;15-12-2022;15-06-2023;15-06-2023;97500000;0;0,0712;Linear;ACT/360;FIJA;0;Fijo;0
new;ACT;USD;1;SWAP;PAMPA;CLP;30-01-2024;15-06-2023;15-12-2023;15-12-2023;97500000;0;0,0712;Linear;ACT/360;FIJA;0;Fijo;0
new;ACT;USD;1;SWAP;PAMPA;CLP;30-07-2024;15-12-2023;15-06-2024;17-06-2024;97500000;0;0,0712;Linear;ACT/360;FIJA;0;Fijo;0
new;ACT;USD;1;SWAP;PAMPA;CLP;30-01-2025;15-06-2024;15-12-2024;16-12-2024;97500000;0;0,0712;Linear;ACT/360;FIJA;0;Fijo;0
new;ACT;USD;1;SWAP;PAMPA;CLP;30-07-2025;15-12-2024;15-06-2025;16-06-2025;97500000;0;0,0712;Linear;ACT/360;FIJA;0;Fijo;0
new;ACT;USD;1;SWAP;PAMPA;CLP;30-01-2026;15-06-2025;15-12-2025;15-12-2025;97500000;0;0,0712;Linear;ACT/360;FIJA;0;Fijo;0
new;ACT;USD;1;SWAP;PAMPA;CLP;30-07-2026;15-12-2025;15-06-2026;15-06-2026;97500000;19500000;0,0712;Linear;ACT/360;FIJA;0;Fijo;0
new;ACT;USD;1;SWAP;PAMPA;CLP;30-01-2027;15-06-2026;15-12-2026;15-12-2026;78000000;0;0,0712;Linear;ACT/360;FIJA;0;Fijo;0
new;ACT;USD;1;SWAP;PAMPA;CLP;30-07-2027;15-12-2026;15-06-2027;15-06-2027;78000000;19500000;0,0712;Linear;ACT/360;FIJA;0;Fijo;0
new;ACT;USD;1;SWAP;PAMPA;CLP;30-01-2028;15-06-2027;15-12-2027;15-12-2027;58500000;0;0,0712;Linear;ACT/360;FIJA;0;Fijo;0
new;ACT;USD;1;SWAP;PAMPA;CLP;30-07-2028;15-12-2027;15-06-2028;15-06-2028;58500000;19500000;0,0712;Linear;ACT/360;FIJA;0;Fijo;0
new;ACT;USD;1;SWAP;PAMPA;CLP;30-01-2029;15-06-2028;15-12-2028;15-12-2028;39000000;0;0,0712;Linear;ACT/360;FIJA;0;Fijo;0
new;ACT;USD;1;SWAP;PAMPA;CLP;30-07-2029;15-12-2028;15-06-2029;15-06-2029;39000000;19500000;0,0712;Linear;ACT/360;FIJA;0;Fijo;0
new;ACT;USD;1;SWAP;PAMPA;CLP;30-01-2030;15-06-2029;15-12-2029;17-12-2029;19500000;0;0,0712;Linear;ACT/360;FIJA;0;Fijo;0
new;ACT;USD;1;SWAP;PAMPA;CLP;30-07-2030;15-12-2029;15-06-2030;17-06-2030;19500000;19500000;0,0712;Linear;ACT/360;FIJA;0;Fijo;0
